# Vocabulaire des themes appris sur le corpus (corpus.ApprendreThemes) : ne pas modifier a la main.
# langue	theme	racine	poids
en	musique	2012	1.20
en	cinema_series	2013	1.46
en	jeux_video	2013	1.73
en	cinema_series	2014	1.52
en	histoire_societe	2014	1.61
en	jeux_video	2014	1.43
en	cinema_series	2015	1.66
en	droit	2015	1.70
en	sante	2015	1.31
en	cinema_series	2016	1.49
en	droit	2016	1.23
en	donnees_ia	2018	1.26
en	droit	2018	1.05
en	finance	2018	1.50
en	sante	2018	1.17
en	finance	2019	1.67
en	sante	2019	1.12
en	droit	2020	1.15
en	finance	2020	1.26
en	sante	2020	1.33
en	droit	2021	1.07
en	finance	2021	1.70
en	finance	2022	1.39
en	redaction_pro	2023	1.50
en	voyage	2023	2.33
en	finance	2024	1.02
en	redaction_pro	2024	1.81
en	web	20p	6.64
en	histoire_societe	20th	1.11
en	images_ia	20th	4.10
en	images_ia	21st	4.58
en	web	24p	6.48
en	finance	250	1.38
en	programmation	255	2.27
en	donnees_ia	256	2.43
en	programmation	256	1.80
en	sciences	271f1d	6.83
en	redaction_pro	2nd	1.31
en	sciences	2nd	1.13
en	web	2px	7.05
en	finance	300	1.47
en	web	30p	6.76
en	web	333	3.28
en	jeux_video	3ds	7.20
en	sciences	3rd	1.13
en	finance	400	1.63
en	web	400p	6.41
en	web	404	3.10
en	philosophie_religion	4chan	4.75
en	web	4px	6.48
en	sciences	4th	1.24
en	finance	500	1.24
en	finance	5000	1.01
en	langues_traduction	5000	2.11
en	web	50p	5.80
en	web	5px	7.51
en	redaction_pro	5th	1.46
en	education	600	1.19
en	finance	600	1.60
en	jeux_video	6th	1.84
en	finance	700	1.01
en	web	700	3.37
en	musique	70s	3.29
en	sciences	788a8d	6.66
en	sciences	7e8c77	6.56
en	redaction_pro	7th	1.80
en	finance	800	1.78
en	musique	80s	3.98
en	musique	90s	3.59
en	sciences	998c7	6.56
en	fiction	abandon	3.24
en	fiction	abby	5.85
en	musique	abc	1.75
en	programmation	abc	1.27
en	sante	abdominal	4.61
en	philosophie_religion	abiliti	1.63
en	sante	abnormaliti	5.33
en	histoire_societe	abolish	3.86
en	programmation	abort	3.45
en	fiction	about	1.56
en	education	abroad	2.35
en	voyage	abroad	1.93
en	maths	abs	2.07
en	programmation	abs	1.59
en	sante	absenc	2.47
en	web	absolut	1.83
en	fiction	absolutely	3.37
en	sciences	absorb	2.47
en	sciences	absorpti	2.73
en	donnees_ia	abstract	1.28
en	images_ia	abstract	2.20
en	fiction	absurdly	5.42
en	sciences	abundant	2.60
en	education	academic	2.27
en	langues_traduction	academic	1.73
en	langues_traduction	academically	3.70
en	philosophie_religion	academy	1.71
en	sciences	accelerat	1.85
en	maths	accelerati	3.95
en	images_ia	accent	2.49
en	programmation	access	1.67
en	images_ia	accessori	2.38
en	images_ia	accessory	4.74
en	droit	accident	1.43
en	fiction	accident	2.94
en	fiction	accidentally	4.09
en	voyage	accommodati	3.30
en	emploi_carriere	accomplishment	2.23
en	droit	accord	1.26
en	philosophie_religion	accord	1.21
en	droit	accordanc	3.33
en	redaction_pro	accordingly	2.52
en	finance	account	3.88
en	droit	accountability	3.04
en	philosophie_religion	accountability	2.92
en	donnees_ia	accuracy	3.32
en	langues_traduction	accuracy	1.25
en	donnees_ia	accurat	1.20
en	donnees_ia	accurately	1.58
en	langues_traduction	accurately	2.06
en	droit	accus	3.64
en	droit	ace	2.35
en	education	achievement	1.94
en	emploi_carriere	achievement	2.23
en	sante	acid	1.58
en	sciences	acid	2.64
en	sport_nutrition	acid	3.46
en	sciences	acidian	6.56
en	donnees_ia	acknowledg	1.59
en	droit	acknowledg	1.59
en	philosophie_religion	acknowledg	1.47
en	redaction_pro	acknowledg	1.57
en	musique	acoustic	5.24
en	emploi_carriere	acquir	1.01
en	finance	acquir	1.04
en	marketing_business	acquisiti	2.54
en	poesie_paroles	acrostic	6.25
en	droit	act	1.41
en	droit	acti	1.41
en	sport_nutrition	actin	5.58
en	fiction	acting	2.57
